set term gif size 8000, 8000 font "Times-Roman,90"
set output "chen_traj_img.gif"
set xlabel "x"
set ylabel "y"
set zlabel "z"
set xrange [-40:40]
set yrange [-40:40]
set zrange [0:60]
splot '-' with line
-10.60474209 -10.76669862 24.54051238
-10.60501521 -10.76509696 24.54247743
-10.60528513 -10.7634919 24.54444126
-10.60555182 -10.76188344 24.54640386
-10.60581531 -10.76027159 24.54836525
-10.60607558 -10.75865635 24.55032541
-10.60633264 -10.75703772 24.55228434
-10.60658649 -10.7554157 24.55424204
-10.60683712 -10.75379029 24.5561985
-10.60708455 -10.7521615 24.55815373
-10.60732876 -10.75052932 24.56010772
-10.60756977 -10.74889376 24.56206047
-10.60780757 -10.74725482 24.56401197
-10.60804215 -10.74561251 24.56596222
-10.60827353 -10.74396681 24.56791122
-10.60850171 -10.74231774 24.56985897
-10.60872667 -10.74066529 24.57180546
-10.60894843 -10.73900948 24.5737507
-10.60916698 -10.73735029 24.57569467
-10.60938233 -10.73568773 24.57763737
-10.60959447 -10.73402181 24.57957881
-10.60980341 -10.73235252 24.58151898
-10.61000915 -10.73067986 24.58345787
-10.61021168 -10.72900385 24.58539549
-10.61041101 -10.72732447 24.58733183
-10.61060713 -10.72564173 24.58926689
-10.61080006 -10.72395564 24.59120066
-10.61098978 -10.72226619 24.59313315
-10.6111763 -10.72057339 24.59506435
-10.61135963 -10.71887723 24.59699425
-10.61153975 -10.71717773 24.59892286
-10.61171668 -10.71547487 24.60085017
-10.6118904 -10.71376867 24.60277618
-10.61206093 -10.71205913 24.60470089
-10.61222827 -10.71034624 24.60662429
-10.6123924 -10.70863 24.60854638
-10.61255334 -10.70691043 24.61046716
-10.61271108 -10.70518752 24.61238663
-10.61286563 -10.70346127 24.61430478
-10.61301699 -10.70173169 24.61622161
-10.61316515 -10.69999877 24.61813711
-10.61331012 -10.69826252 24.6200513
-10.61345189 -10.69652294 24.62196415
-10.61359048 -10.69478003 24.62387567
-10.61372587 -10.6930338 24.62578586
-10.61385807 -10.69128424 24.62769471
-10.61398708 -10.68953135 24.62960223
-10.6141129 -10.68777515 24.6315084
-10.61423553 -10.68601562 24.63341323
